name|ingredients|url|image|cookTime|recipeYield|datePublished|prepTime|description|difficulty
My Brother’s Chicken Tacos|"16 whole Corn Tortillas (small Size)
4 whole Boneless, Skinless Chicken Breasts, Cut Into Pieces
 Salt, Cumin, Chili Powder To Taste (or Use Taco Seasoning)
2 Tablespoons Canola Oil
2 cans (4 Ounce) Diced Green Chilies
1-1/2 cup Finely Grated Cheese (cheddar Or Cheddar/jack Mix)
 Sour Cream
 Hot Sauce (Chulula Or Other Brand)
2 cups Thinly Sliced Romaine Lettuce (or Any Lettuce)
4 whole Roma Tomatoes, Diced
 Canola Oil, For Frying Tacos"|http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/|http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg|30|8|2011-03-31|10|Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...|Medium
Simple Sesame Noodles|"12 ounces, fluid Thin Noodles, Cooked And Drained
1/4 cup Soy Sauce
2 Tablespoons Sugar
4 cloves Garlic, Minced
2 Tablespoons Rice Vinegar
3 Tablespoons Pure Sesame Oil
1/2 teaspoon Hot Chili Oil
4 Tablespoons Canola Oil
4 whole Green Onions, Sliced Thin"|http://thepioneerwoman.com/cooking/2010/08/simple-sesame-noodles/|http://static.thepioneerwoman.com/cooking/files/2010/08/3949394720_c854047191_o1.jpg|10|8|2010-08-13|10|  I'll be spending the weekend cooking some new recipes and making such a mess of my kitchen I'll want to cry and burn down t...|Easy
Corn Chowder with Chilies|"2 slices Bacon, Cut Into 1/2-inch Pieces (or Smaller)
2 Tablespoons Butter
1-1/2 whole Yellow Onion, Diced
5 ears Corn, Shucked (about 4 Cups)
2 whole Chipotle Peppers In Adobo Sauce, Finely Diced
1 whole 4-ounce Can Diced Green Chilies
32 ounces, fluid Low Sodium Chicken Broth
1-1/2 cup Heavy Whipping Cream
1/2 teaspoon Kosher Salt (more To Taste)
3 Tablespoons Corn Meal OR Masa
1/4 cup Water"|http://thepioneerwoman.com/cooking/2010/10/corn-chowder-with-chilies/|http://static.thepioneerwoman.com/cooking/files/2010/10/chowder.jpg|20|8|2010-10-08|10|This is to die for.     It's just a regular corn chowder made with fresh corn shaved off the cob, which is yummy enough as it...|Medium
Creamy Cheese Grits with Chilies|"4-1/2 cups Water
1/2 teaspoon Salt
1 cup Grits (quick Or Regular)
1/2 can (10 Ounce Can) Rotel (tomatoes And Chilies)
1 can (4 Ounce Can) Chopped Green Chilies
8 ounces, weight Monterey Jack Cheese, Grated
4 ounces, weight Cream Cheese, Cut Into Cubes
1/4 teaspoon Cayenne Pepper
1/4 teaspoon Paprika
 Black Pepper To Taste
1 whole Egg Beaten"|http://thepioneerwoman.com/cooking/2010/10/creamy-cheese-grits-with-chilies/|http://static.thepioneerwoman.com/cooking/files/2010/10/5079611293_ff628b6e0c_z.jpg|45|8|2010-10-14|5|I have a good, basic recipe for cheese grits in my cookbook, but last night I was feeling feisty.     I was cooking steaks. B...|Medium
Big Steak Salad|"2 whole Rib-eye Or Strip Steaks, Extra Fat Trimmed
 _____
 FOR THE DRESSING/MARINADE:
3/4 cups Canola Oil
3 Tablespoons Red Wine Vinegar
1 Tablespoon Balsamic Vinegar
1 Tablespoon Worcestershire Sauce
2 Tablespoons Soy Sauce
1 teaspoon (additional) Soy Sauce
2 Tablespoons Lime Juice
2 Tablespoons Sugar
3 cloves Garlic, Peeled
1 Tablespoon Minced Fresh Ginger
1/2 teaspoon Hot Chili Oil
1 teaspoon Kosher Salt
 Lots Of Freshly Ground Black Pepper
 _____
 FOR THE ONION STRINGS:
2 whole Onions, Sliced As Thin As Possible
2 cups Buttermilk
2 cups Flour
1 Tablespoon Salt
1/2 teaspoon Cayenne Pepper
1 quart Canola Oil
 Black Pepper To Taste
 _____
 FOR THE CANDIED PECAN BITS:
1/2 cup Pecans, Chopped
1 cup Sugar
2 Tablespoons Water
 _____
 FOR THE SALAD:
 Lettuce Mix: Romaine, Arugula, Watercress, Raddiccio, Etc.
 Small Grape Tomatoes
3/4 cups Crumbled Blue Cheese"|http://thepioneerwoman.com/cooking/2010/10/big-steak-salad/|http://static.thepioneerwoman.com/cooking/files/2010/10/5095710774_9a8833d919_z.jpg|20|4|2010-10-20|1|There are few things I love more than a big green salad with sliced grilled steak on top. Whenever Marlboro Man and I land at...|Easy
Butternut Squash &amp; Kale Quesadillas|"1/2 whole Butternut Squash, Peeled, Seeded, And Diced.
2 Tablespoons Butter
1 Tablespoon Olive Oil
1/2 teaspoon Kosher Salt
 Black Pepper To Taste
1/4 teaspoon Chili Powder (more To Taste)
1 bunch Kale, Leaves Torn, Stalks Discarded
8 whole Small (fajita Sized) Flour Tortillas
 Extra Butter For Frying
2-1/2 cups Monterey Jack Cheese, Grated (more If Needed)
 Sour Cream For Serving
 Cilantro, For Serving
 Pico De Gallo, Salsa, Avocado Slices (optional) For Serving"|http://thepioneerwoman.com/cooking/2013/01/butternut-squash-kale-quesadillas/|http://static.thepioneerwoman.com/cooking/files/2013/01/squashkale.jpg|20|4|2013-01-07|15|I am a passionate lover of butternut squash. I've written before about how a spoonful of butternut squash puree (spiked with ...|Medium
Passover Brisket|"1 whole Beef Brisket, Trimmed Of All Fat (5 To 8 Pounds)
1 bottle (24 Ounce) Ketchup Or Chili Sauce (make Sure It's Kosher)
1 package Onion Soup Mix (make Sure It's Kosher)"|http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/|http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg|420|8|2010-03-30|10|Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...|Hard
Sloppy Joes|"2 Tablespoons Butter
2-1/2 pounds Ground Beef
1/2 whole Large Onion, Diced
1 whole Large Green Bell Pepper, Diced
5 cloves Garlic, Minced
1-1/2 cup Ketchup
1 cup Water
2 Tablespoons Brown Sugar
2 teaspoons Chili Powder (more To Taste)
1 teaspoon Dry Mustard
1/2 teaspoon Red Pepper Flakes (more To Taste)
 Worcestershire Sauce, To Taste
2 Tablespoons Tomato Paste (optional)
 Tabasco Sauce (optional; To Taste)
 Salt To Taste
 Freshly Ground Black Pepper, To Taste
 Kaiser Rolls
 Butter"|http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/|http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg|20|8|2010-04-12|10|I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...|Medium
Butternut Squash Risotto|"1/2 whole Butternut Squash, Peeled, Seeded, And Diced.
3 Tablespoons Butter
1 Tablespoon Olive Oil
1/2 teaspoon Kosher Salt
 Black Pepper To Taste
1/4 teaspoon Chili Powder
1/2 whole Diced Onion
1-1/2 cup Arborio Rice
6 cups (approximately) Vegetable Or Chicken Broth (low Sodium)
 Salt And Pepper, to taste
1/8 teaspoon Turmeric
1/4 cup Heavy Cream (less If Desired)
1/2 cup Parmesan Shavings (more For Serving)
 Finely Minced Parsley, For Serving"|http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/|http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg|60|8|2013-01-21|10|A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...|Hard
Chicken Tikka Masala, by Pastor Ryan|"3 whole (to 4) Chicken Breasts
 Kosher Salt
 Ground Coriander
 Cumin, To Taste
1/2 cup Plain Yogurt
6 Tablespoons Butter
1 whole Large Onion
4 cloves Garlic
1 piece (approximately 2 Inches) Chunk Fresh Ginger
 Garam Masala
1 can (28 Ounce) Diced Tomatoes
 Sugar
1-1/2 cup Heavy Cream
2 cups Basmati Rice
 _____
 OPTIONAL:
 Fresh Cilantro
 Chili Peppers
 Turmeric
 Frozen Peas"|http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/|http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg|60|6|2009-06-04|30|Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...|Hard
Fresh Corn and Avocado Salsa|"4 ears Sweet Corn
2 whole Very Firm Avocados, Diced
 1/2 Red Onion, Diced
 1/2 Jalapeno, Seeded And Finely Diced
 1/2 Hot Chili Pepper, Seeded And Finely Diced
1 whole Juice Of Lime
 Plenty Of Chopped Cilantro
 Salt To Taste
1 Tablespoon Vinegar
1 teaspoon Sugar (optional)"|http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/|http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg|0|10|2009-08-13|25|I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...|Easy
Good Ol’ Basic Mexican Rice|"2 Tablespoons Canola Oil
1/2 whole Large Onion, Chopped
2 cups Long Grain Rice
3 cloves Garlic, Minced
1 can Rotel Diced Green Chilies And Tomatoes (10 Ounce Can)
1 can Whole Tomatoes (14.5 Ounce Can)
2 cups Low Sodium Chicken Broth (more If Needed)
1 teaspoon Cumin (more To Taste)
1 teaspoon Kosher Salt
 Fresh Cilantro, Chopped"|http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/|http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg|15|6|2009-11-11|10|I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...|Easy
Lazy Chiles Rellenos|"8 whole Roasted, Peeled, And Seeded Green Chiles
1-1/2 cup Monterey Jack Cheese, Grated
5 whole Large Eggs
2 cups Whole Milk
 Salt And Black Pepper To Taste
1/2 teaspoon Paprika
1/4 teaspoon Cayenne Pepper"|http://thepioneerwoman.com/cooking/2009/11/lazy-chiles-rellenos/|http://static.thepioneerwoman.com/cooking/files/2010/07/4098250665_65310ab692.jpg|45|9|2009-11-12|5|This dish ain't fancy.     This dish ain't difficult to make. (Huh. Understatement of the modern era.)    This dish...ain't n...|Medium
Enchiladas|" FOR THE SAUCE:
1 Tablespoon Canola Oil
1 Tablespoon All-purpose Flour
1 can (28 Ounce) Enchilada Or Red Sauce
2 cups Chicken Broth
1/2 teaspoon Salt
1/2 teaspoon Ground Black Pepper
2 Tablespoons Chopped Cilantro
 _____
 FOR THE MEAT:
1-1/2 pound Ground Beef
1 whole Medium Onion, Finely Diced
2 cans (4 Ounce) Diced Green Chilies
1/2 teaspoon Salt
 _____
 FOR THE TORTILLAS:
10 whole (to 14) Corn Tortillas
1/2 cup Canola Oil
 _____
 TO ASSEMBLE:
3 cups Grated Sharp Cheddar Cheese
1/2 cup Chopped Black Olives
1 cup Chopped Green Onions
1/2 cup Chopped Cilantro"|http://thepioneerwoman.com/cooking/2008/09/simple-perfect-enchiladas/|http://static.thepioneerwoman.com/cooking/files/2008/09/Enchiladas.jpg|20|6|2008-09-15|90|Okay, people. Let's get down to business here. Let's make enchiladas!     Did you know that in addition to having an imaginar...|Hard
Mexican Layer Dip|"1 can Refried Beans
 Tabasco Sauce, To Taste
1 can Diced Green Chilies
 Ground Cumin, to taste
3/4 cups Grated Sharp Cheddar Cheese
1 cup Sour Cream
1 cup Guacamole
3/4 cups Monterey Jack Cheese
1 can Black Olives
1 cup Pico De Gallo"|http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/|http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_rec_chil959a301.jpg|0|8|2009-01-30|15|    It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...|Easy
What I Made for Lunch on Saturday|"1-1/2 pound Linguine
1 bunch Cilantro, Roughly Chopped
4 whole Green Onions, Thinly Sliced
 _____
 PEANUT DRESSING:
5 cloves Garlic, Peeled
1 cup Chunky Peanut Butter
3/4 cups Low Sodium Soy Sauce
4 Tablespoons (to 5 Tablespoons) Red Wine Vinegar
6 Tablespoons Brown Sugar
3 Tablespoons (to 4 Tablespoons) Red Chile Oil
1/4 cup Olive Oil
1/4 cup Sesame Oil (can Also Use 1/2 Cup Olive Oil)
1 Tablespoon (to 2 Tablespoons) Toasted Sesame Oil (sold In The Asian Aisle)"|http://thepioneerwoman.com/cooking/2009/04/what-i-made-for-lunch-on-saturday/|http://static.thepioneerwoman.com/cooking/files/2009/04/what-i-made-for-lunch-on-saturday.jpg|10|4|2009-04-27|20|It's a long and lengthy process to explain why I cooked what I cooked for the Smitten Kitchen get together at the Lodge on Sa...|Medium
Leftover Brisket Tostadas|" Beef Brisket Leftovers
1 package Small Corn Tortillas
1 can (about 16 Oz.) Refried Beans
1 can (about 8 Oz.) Hot Tomato Sauce Or Chili Sauce (optional)
 Pico De Gallo
 Shredded Cheese
 Lettuce
 Sour Cream
1 whole Avocado
 Vegetable Oil"|http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/|http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg|5|6|2008-01-15|15|    There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...|Easy
Cooking With Pastor Ryan: Delicious Mexican Lasagna|"4 cups Unprepared Rice
6 cups (to 8 Cups) Low Sodium Chicken Broth/stock
4 whole (to 8) Tomatoes (up To You)
2 whole (to 3) Onions (up To You)
8 cloves (to 14 Cloves) Of Garlic (up To You)
 Butter
 Taco Seasoning (or Chili Powder, Paprika, And Cumin) To Taste
1 can (to 2 Cans) Black Or Pinto Beans (up To You)
3 pounds Lean Ground Beef
2 jars (16 Ounce) Salsa Verde
 Flour Tortillas
3 packages (16 Ounces) Mexican Cheese Blend
1 jar (16 Ounce) Enchilada Sauce
3 cans Corn, Drained
 Sour Cream, to taste
 Cilantro, to taste"|http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/|http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg|35|8|2008-08-14|45|Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...|Hard
Spicy Shredded Pork|"4 pounds (up To 7 Pounds) Pork Shoulder
1 teaspoon Dried Oregano
1 teaspoon Ground Cumin
1 teaspoon Chili Powder
1 Tablespoon (to 2 Tablespoons) Salt
 Pepper To Taste
3 cloves (to 4 Cloves) Garlic
1 Tablespoon (to 2 Tablespoons) Olive Oil
2 Tablespoons (to 3 Tablespoons) White Wine Vinegar
1/4 cup Brown Sugar
1 whole Onion
 Lime Wedges"|http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/|http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg|240|8|2008-08-06|20|   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...|Hard
Thai Chicken Wraps|"2 whole Boneless, Skinless Chicken Breasts (breast Halves)
 OPTION 1 MARINADE/SAUCE
1 Tablespoon Rice Wine Vinegar
1/4 cup Soy Sauce
1 teaspoon Pure Sesame Oil
1 teaspoon Hot Chili Oil
 Juice Of 2 Limes
1 Tablespoon Minced Fresh Ginger
2 Tablespoons Brown Sugar (optional)
1 teaspoon Cornstarch
2 Tablespoons Honey (or Brown Sugar)
 Peanut Or Canola Oil For Frying
 Peanut Sauce
1/2 cup Peanut Butter (crunch/chunky Is Good!)
3 Tablespoons Soy Sauce
3 Tablespoons Honey
1/2 teaspoon Hot Chili Oil
1 teaspoon Crushed Red Pepper
 Juice Of 2 Limes
 Water, As Needed For Thinning
 Wraps
2 whole Whole-wheat Tortillas
 Green Leaf Or Other Lettuce, Leaves Left Whole Or Shredded
1 whole Large Carrot, Cut Into Thin Strips Or Julienne
1/2 whole Cucumber, Seeds Scraped Out, Cut Into Strips
 Cilantro Leaves
 Shelled Peanuts
 Optional Additions:
 Bean Sprouts
 Alfalfa Sprouts
 Baby Spinach Leaves
 Thinly Sliced Red Onion
 Sliced Green Onion
 Blanched Asparagus
 Salt And Pepper, to taste
 Sriracha"|http://thepioneerwoman.com/cooking/2013/02/thai-chicken-wraps/|http://static.thepioneerwoman.com/cooking/files/2013/02/wraps.jpg|10|2|2013-02-12|20|I made these yummy, crunchy, flavorful wraps after church last Sunday for the following reasons:    1. I was alone in the hou...|Medium
Beef Fajitas|"1 whole Beef Flank Steak
1/2 cup Olive Oil
3 Tablespoons Worcestershire Sauce
1/3 cup Lime Juice, Fresh Squeezed
3 cloves Garlic, Minced
1 Tablespoon Cumin
1 Tablespoon Chili Powder
1/2 teaspoon Red Pepper Flakes
1 teaspoon Salt
1/2 teaspoon Black Pepper
1 Tablespoon Sugar
2 whole Medium Onions, Halved And Sliced
1 whole Red Bell Pepper, Sliced
1 whole Orange Bell Pepper, Sliced
1 whole Green Bell Pepper, Sliced
1 whole Yellow Bell Pepper, Sliced
 Oil, For Frying
 Flour Tortillas, Warmed
 Cheese (grated Cheddar/jack Or Crumbled Queso Fresco)
 Salsa
 Sour Cream
 Cilantro Leaves"|http://thepioneerwoman.com/cooking/2013/03/beef-fajitas/|http://static.thepioneerwoman.com/cooking/files/2013/03/fajitas1.jpg|15|8|2013-03-04|120|When I get a hankering for beef fajitas, I pretty much can think of nothing else until I eat them. I made them over the weeke...|Hard
Pioneer Woman’s Favorite Sandwich|"1 Tablespoon Dijon Mustard, to taste
1 Tablespoon Mayonnaise, to taste
1 whole Tomato
1 whole Red Onion, Small
2 slices Mild Cheddar
1 can (4 Oz.) Whole Green Chilies
2 slices Provolone
2 slices Rye Bread
 Butter"|http://thepioneerwoman.com/cooking/2007/10/pioneer_womans_favorite_sandwich/|http://static.thepioneerwoman.com/cooking/files/2010/07/1470622409_212bb118bd.jpg|5|1|2007-10-02|10|    Mmmmm...this is it, folks: The Sandwich That Brings Me the Most Happiness in Life. Granted, it's no Marlboro Man's Favori...|Easy
Chocolate Calypso Beans (remix)|"1 lb. Jacob's Cattle beans
2 T. olive oil
1 large onion, chopped
1 red bell pepper, chopped
5 cloves garlic, minced
2T. ground, dried red chilies (I used med-hot Chimayo)
1 1/2 T ground cumin
2+ t.  ground cinnamon 
1 t. ground allspice
4 1/2 cups water or vegetable stock
1 12 oz. bottle Negro Modelo Mexican beer
1 1/2 discs Ibarra Mexican chocolate"|http://www.101cookbooks.com/archives/000116.html|http://www.101cookbooks.com/mt-static/images/food/ranchogordobeans.jpg|0||2004-09-06|0|101 Cookbooks: Chocolate Calypso Beans Recipe|Unknown
